Kvote;Lærested;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Poenggrense
Ordinær kvote;OSLOMET;Suppleringsopptak;215 085;Arkivvitenskap;;MEDIEFAG;2020;49.3
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 605;Arktisk friluftsliv;;IDRETT;2020;39.5
Ordinær kvote;UIT;Hovedopptak;186 605;Arktisk friluftsliv;;IDRETT;2020;45.3
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 605;Arktisk friluftsliv;;IDRETT;2020;38.8
Ordinær kvote;UIT;Suppleringsopptak;186 605;Arktisk friluftsliv;;IDRETT;2020;45.3
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 302;Arktisk friluftsliv og naturguiding;;IDRETT;2020;0
Ordinær kvote;UIT;Hovedopptak;186 302;Arktisk friluftsliv og naturguiding;;IDRETT;2020;0
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 302;Arktisk friluftsliv og naturguiding;;IDRETT;2020;0
Ordinær kvote;UIT;Suppleringsopptak;186 302;Arktisk friluftsliv og naturguiding;;IDRETT;2020;0
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 704;Audiologi;;HELSEFAG - AUDIO;2020;39.2
Ordinær kvote;NTNU;Hovedopptak;194 704;Audiologi;;HELSEFAG - AUDIO;2020;46.3
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 704;Audiologi;;HELSEFAG - AUDIO;2020;39.2
Ordinær kvote;NTNU;Suppleringsopptak;194 704;Audiologi;;HELSEFAG - AUDIO;2020;46.3
Førstegangsvitnemålskvote;INN;Hovedopptak;209 262;Audiovisuelle medier;;MEDIEFAG;2020;0
Ordinær kvote;INN;Hovedopptak;209 262;Audiovisuelle medier;;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 262;Audiovisuelle medier;;MEDIEFAG;2020;0
Ordinær kvote;INN;Suppleringsopptak;209 262;Audiovisuelle medier;;MEDIEFAG;2020;0
Førstegangsvitnemålskvote;AHS;Hovedopptak;255 418;Bærekraft og kultur;;SAMFUNN;2020;0
Ordinær kvote;AHS;Hovedopptak;255 418;Bærekraft og kultur;;SAMFUNN;2020;0
Førstegangsvitnemålskvote;AHS;Suppleringsopptak;255 418;Bærekraft og kultur;;SAMFUNN;2020;0
Ordinær kvote;AHS;Suppleringsopptak;255 418;Bærekraft og kultur;;SAMFUNN;2020;0
Førstegangsvitnemålskvote;HIM;Hovedopptak;211 389;Bærekraftig logistikk og sirkulær økonomi;;ØKADM;2020;0
Ordinær kvote;HIM;Hovedopptak;211 389;Bærekraftig logistikk og sirkulær økonomi;;ØKADM;2020;0
Førstegangsvitnemålskvote;HIM;Suppleringsopptak;211 389;Bærekraftig logistikk og sirkulær økonomi;;ØKADM;2020;0
Ordinær kvote;HIM;Suppleringsopptak;211 389;Bærekraftig logistikk og sirkulær økonomi;;ØKADM;2020;0
Førstegangsvitnemålskvote;INN;Hovedopptak;209 389;Bærekraftsøkonomi;;ØKADM;2020;0
Ordinær kvote;INN;Hovedopptak;209 389;Bærekraftsøkonomi;;ØKADM;2020;0
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 389;Bærekraftsøkonomi;;ØKADM;2020;0
Ordinær kvote;INN;Suppleringsopptak;209 389;Bærekraftsøkonomi;;ØKADM;2020;0
Førstegangsvitnemålskvote;DMMH;Hovedopptak;253 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;34
Førstegangsvitnemålskvote;HIØ;Hovedopptak;224 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;31.1
Førstegangsvitnemålskvote;HVO;Hovedopptak;223 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;INN;Hovedopptak;209 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;NLA;Hovedopptak;254 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;NORD;Hovedopptak;204 131;Barnehagelærer;;LÆRER - BHGLÆRER;2020;31.3
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;37.1
Førstegangsvitnemålskvote;UIS;Hovedopptak;217 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;33.1
Ordinær kvote;DMMH;Hovedopptak;253 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;38.5
Ordinær kvote;HIØ;Hovedopptak;224 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;40.4
Ordinær kvote;HVO;Hovedopptak;223 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;37.6
Ordinær kvote;INN;Hovedopptak;209 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;34.3
Ordinær kvote;NLA;Hovedopptak;254 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;NORD;Hovedopptak;204 131;Barnehagelærer;;LÆRER - BHGLÆRER;2020;34.7
Ordinær kvote;OSLOMET;Hovedopptak;215 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;45.8
Ordinær kvote;UIS;Hovedopptak;217 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;40.3
Førstegangsvitnemålskvote;DMMH;Suppleringsopptak;253 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;32.5
Førstegangsvitnemålskvote;HIØ;Suppleringsopptak;224 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;31.1
Førstegangsvitnemålskvote;HVO;Suppleringsopptak;223 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;NLA;Suppleringsopptak;254 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;NORD;Suppleringsopptak;204 131;Barnehagelærer;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;35.5
Førstegangsvitnemålskvote;UIS;Suppleringsopptak;217 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;32.9
Ordinær kvote;DMMH;Suppleringsopptak;253 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;36.4
Ordinær kvote;HIØ;Suppleringsopptak;224 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;40.4
Ordinær kvote;HVO;Suppleringsopptak;223 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;37.6
Ordinær kvote;INN;Suppleringsopptak;209 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;34.3
Ordinær kvote;NLA;Suppleringsopptak;254 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;NORD;Suppleringsopptak;204 131;Barnehagelærer;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;OSLOMET;Suppleringsopptak;215 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;45.3
Ordinær kvote;UIS;Suppleringsopptak;217 130;Barnehagelærer;;LÆRER - BHGLÆRER;2020;40.3
Førstegangsvitnemålskvote;UIT;Hovedopptak;186 131;Barnehagelærer, Alta, samlingsbasert;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;UIT;Hovedopptak;186 131;Barnehagelærer, Alta, samlingsbasert;;LÆRER - BHGLÆRER;2020;40.3
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 131;Barnehagelærer, Alta, samlingsbasert;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;UIT;Suppleringsopptak;186 131;Barnehagelærer, Alta, samlingsbasert;;LÆRER - BHGLÆRER;2020;40.3
Førstegangsvitnemålskvote;HVL;Hovedopptak;203 130;Barnehagelærer, Bergen;;LÆRER - BHGLÆRER;2020;31.2
Ordinær kvote;HVL;Hovedopptak;203 130;Barnehagelærer, Bergen;;LÆRER - BHGLÆRER;2020;34.1
Førstegangsvitnemålskvote;HVL;Suppleringsopptak;203 130;Barnehagelærer, Bergen;;LÆRER - BHGLÆRER;2020;30.5
Ordinær kvote;HVL;Suppleringsopptak;203 130;Barnehagelærer, Bergen;;LÆRER - BHGLÆRER;2020;34.1
Førstegangsvitnemålskvote;HIØ;Hovedopptak;224 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;HVL;Hovedopptak;203 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;HVO;Hovedopptak;223 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;UIS;Hovedopptak;217 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;HIØ;Hovedopptak;224 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;41.5
Ordinær kvote;HVL;Hovedopptak;203 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;36.8
Ordinær kvote;HVO;Hovedopptak;223 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;45.2
Ordinær kvote;OSLOMET;Hovedopptak;215 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;UIS;Hovedopptak;217 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;41.1
Førstegangsvitnemålskvote;HIØ;Suppleringsopptak;224 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;HVL;Suppleringsopptak;203 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;HVO;Suppleringsopptak;223 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Førstegangsvitnemålskvote;UIS;Suppleringsopptak;217 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;HIØ;Suppleringsopptak;224 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;40.9
Ordinær kvote;HVL;Suppleringsopptak;203 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;36.8
Ordinær kvote;HVO;Suppleringsopptak;223 529;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;45.2
Ordinær kvote;OSLOMET;Suppleringsopptak;215 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;0
